,n_nodes,n_processors,width,density,regular,jump,GA_makespan,proposedAlgo
210,30,4,10.0,0.5,0.1,2,151.0,144.0
211,30,4,10.0,0.5,0.5,2,175.0,170.0
212,30,4,10.0,0.5,1.0,2,204.0,186.0
213,30,4,10.0,1.0,0.1,2,178.0,167.0
214,30,4,10.0,1.0,0.5,2,179.0,177.0
215,30,4,10.0,1.0,1.0,2,199.0,190.0
216,30,6,0.5,0.1,0.1,2,303.0,230.0
217,30,6,0.5,0.1,0.5,2,286.0,195.0
218,30,6,0.5,0.1,1.0,2,262.0,185.0
219,30,6,0.5,0.5,0.1,2,376.0,136.0
220,30,6,0.5,0.5,0.5,2,335.0,216.0
221,30,6,0.5,0.5,1.0,2,415.0,198.0
222,30,6,0.5,1.0,0.1,2,344.0,137.0
223,30,6,0.5,1.0,0.5,2,442.0,150.0
224,30,6,0.5,1.0,1.0,2,377.0,173.0
225,30,6,1.0,0.1,0.1,2,204.0,132.0
226,30,6,1.0,0.1,0.5,2,202.0,136.0
227,30,6,1.0,0.1,1.0,2,261.0,141.0
228,30,6,1.0,0.5,0.1,2,243.0,150.0
229,30,6,1.0,0.5,0.5,2,269.0,152.0
230,30,6,1.0,0.5,1.0,2,274.0,204.0
231,30,6,1.0,1.0,0.1,2,288.0,199.0
232,30,6,1.0,1.0,0.5,2,284.0,173.0
233,30,6,1.0,1.0,1.0,2,282.0,230.0
234,30,6,10.0,0.1,0.1,2,144.0,124.0
235,30,6,10.0,0.1,0.5,2,148.0,140.0
236,30,6,10.0,0.1,1.0,2,153.0,142.0
237,30,6,10.0,0.5,0.1,2,145.0,128.0
238,30,6,10.0,0.5,0.5,2,127.0,123.0
239,30,6,10.0,0.5,1.0,2,154.0,140.0
240,30,6,10.0,1.0,0.1,2,162.0,150.0
241,30,6,10.0,1.0,0.5,2,155.0,143.0
242,30,6,10.0,1.0,1.0,2,141.0,130.0
243,40,2,0.5,0.1,0.1,2,497.0,454.0
244,40,2,0.5,0.1,0.5,2,369.0,343.0
